"","Locality","Species","P_A","Phylo.Relatedness","Hyp","Iteration"
"1","1","t1",0,1,"Lottery",NA
"2","1","t10",0,0.4,"Lottery",NA
"3","1","t11",0,0.333333333333333,"Lottery",NA
"4","1","t12",0,0.266666666666667,"Lottery",NA
"5","1","t13",1,0.933333333333333,"Lottery",NA
"6","1","t14",0,0.2,"Lottery",NA
"7","1","t15",0,0.2,"Lottery",NA
"8","1","t16",0,0.2,"Lottery",NA
"9","1","t2",1,0.933333333333333,"Lottery",NA
"10","1","t3",0,0.866666666666667,"Lottery",NA
"11","1","t4",0,0.8,"Lottery",NA
"12","1","t5",0,0.733333333333333,"Lottery",NA
"13","1","t6",0,0.666666666666667,"Lottery",NA
"14","1","t7",0,0.6,"Lottery",NA
"15","1","t8",0,0.533333333333333,"Lottery",NA
"16","1","t9",0,0.466666666666667,"Lottery",NA
"17","10","t1",0,1,"Lottery",NA
"18","10","t10",1,0.4,"Lottery",NA
"19","10","t11",0,0.333333333333333,"Lottery",NA
"20","10","t12",0,0.266666666666667,"Lottery",NA
"21","10","t13",0,0.2,"Lottery",NA
"22","10","t14",0,0.133333333333333,"Lottery",NA
"23","10","t15",0,0.0666666666666667,"Lottery",NA
"24","10","t16",1,0.4,"Lottery",NA
"25","10","t2",0,0.933333333333333,"Lottery",NA
"26","10","t3",0,0.866666666666667,"Lottery",NA
"27","10","t4",1,0.8,"Lottery",NA
"28","10","t5",1,0.733333333333333,"Lottery",NA
"29","10","t6",0,0.666666666666667,"Lottery",NA
"30","10","t7",0,0.6,"Lottery",NA
"31","10","t8",0,0.533333333333333,"Lottery",NA
"32","10","t9",0,0.466666666666667,"Lottery",NA
"33","100","t1",1,1,"Lottery",NA
"34","100","t10",0,0.466666666666667,"Lottery",NA
"35","100","t11",0,0.466666666666667,"Lottery",NA
"36","100","t12",0,0.466666666666667,"Lottery",NA
"37","100","t13",0,0.466666666666667,"Lottery",NA
"38","100","t14",0,0.466666666666667,"Lottery",NA
"39","100","t15",0,0.466666666666667,"Lottery",NA
"40","100","t16",0,0.466666666666667,"Lottery",NA
"41","100","t2",0,0.933333333333333,"Lottery",NA
"42","100","t3",0,0.866666666666667,"Lottery",NA
"43","100","t4",0,0.8,"Lottery",NA
"44","100","t5",0,0.733333333333333,"Lottery",NA
"45","100","t6",0,0.666666666666667,"Lottery",NA
"46","100","t7",0,0.6,"Lottery",NA
"47","100","t8",1,0.533333333333333,"Lottery",NA
"48","100","t9",1,0.533333333333333,"Lottery",NA
"49","101","t1",1,1,"Lottery",NA
"50","101","t10",0,0.4,"Lottery",NA
"51","101","t11",1,0.466666666666667,"Lottery",NA
"52","101","t12",0,0.333333333333333,"Lottery",NA
"53","101","t13",0,0.333333333333333,"Lottery",NA
"54","101","t14",0,0.333333333333333,"Lottery",NA
"55","101","t15",0,0.333333333333333,"Lottery",NA
"56","101","t16",0,0.333333333333333,"Lottery",NA
"57","101","t2",0,0.933333333333333,"Lottery",NA
"58","101","t3",0,0.866666666666667,"Lottery",NA
"59","101","t4",0,0.8,"Lottery",NA
"60","101","t5",0,0.733333333333333,"Lottery",NA
"61","101","t6",0,0.666666666666667,"Lottery",NA
"62","101","t7",0,0.6,"Lottery",NA
"63","101","t8",1,0.533333333333333,"Lottery",NA
"64","101","t9",1,0.466666666666667,"Lottery",NA
"65","102","t1",1,1,"Lottery",NA
"66","102","t10",0,0.4,"Lottery",NA
"67","102","t11",1,0.333333333333333,"Lottery",NA
"68","102","t12",0,0.266666666666667,"Lottery",NA
"69","102","t13",0,0.2,"Lottery",NA
"70","102","t14",1,0.133333333333333,"Lottery",NA
"71","102","t15",1,0.133333333333333,"Lottery",NA
"72","102","t16",0,0.0666666666666667,"Lottery",NA
"73","102","t2",0,0.933333333333333,"Lottery",NA
"74","102","t3",0,0.866666666666667,"Lottery",NA
"75","102","t4",0,0.8,"Lottery",NA
"76","102","t5",0,0.733333333333333,"Lottery",NA
"77","102","t6",1,0.666666666666667,"Lottery",NA
"78","102","t7",0,0.6,"Lottery",NA
"79","102","t8",1,0.533333333333333,"Lottery",NA
"80","102","t9",1,0.466666666666667,"Lottery",NA
"81","103","t1",1,1,"Lottery",NA
"82","103","t10",0,0.4,"Lottery",NA
"83","103","t11",1,0.333333333333333,"Lottery",NA
"84","103","t12",0,0.266666666666667,"Lottery",NA
"85","103","t13",0,0.2,"Lottery",NA
"86","103","t14",1,0.133333333333333,"Lottery",NA
"87","103","t15",1,0.133333333333333,"Lottery",NA
"88","103","t16",0,0.0666666666666667,"Lottery",NA
"89","103","t2",0,0.933333333333333,"Lottery",NA
"90","103","t3",0,0.866666666666667,"Lottery",NA
"91","103","t4",0,0.8,"Lottery",NA
"92","103","t5",0,0.733333333333333,"Lottery",NA
"93","103","t6",1,0.666666666666667,"Lottery",NA
"94","103","t7",0,0.6,"Lottery",NA
"95","103","t8",1,0.533333333333333,"Lottery",NA
"96","103","t9",1,0.466666666666667,"Lottery",NA
"97","104","t1",1,1,"Lottery",NA
"98","104","t10",0,0.4,"Lottery",NA
"99","104","t11",1,0.333333333333333,"Lottery",NA
"100","104","t12",0,0.266666666666667,"Lottery",NA
"101","104","t13",0,0.2,"Lottery",NA
"102","104","t14",1,0.133333333333333,"Lottery",NA
"103","104","t15",1,0.133333333333333,"Lottery",NA
"104","104","t16",0,0.0666666666666667,"Lottery",NA
"105","104","t2",0,0.933333333333333,"Lottery",NA
"106","104","t3",0,0.866666666666667,"Lottery",NA
"107","104","t4",1,0.8,"Lottery",NA
"108","104","t5",0,0.733333333333333,"Lottery",NA
"109","104","t6",1,0.666666666666667,"Lottery",NA
"110","104","t7",0,0.6,"Lottery",NA
"111","104","t8",1,0.533333333333333,"Lottery",NA
"112","104","t9",1,0.466666666666667,"Lottery",NA
"113","105","t1",1,1,"Lottery",NA
"114","105","t10",0,0.4,"Lottery",NA
"115","105","t11",1,0.333333333333333,"Lottery",NA
"116","105","t12",0,0.266666666666667,"Lottery",NA
"117","105","t13",0,0.2,"Lottery",NA
"118","105","t14",1,0.133333333333333,"Lottery",NA
"119","105","t15",1,0.133333333333333,"Lottery",NA
"120","105","t16",0,0.0666666666666667,"Lottery",NA
"121","105","t2",0,0.933333333333333,"Lottery",NA
"122","105","t3",0,0.866666666666667,"Lottery",NA
"123","105","t4",1,0.8,"Lottery",NA
"124","105","t5",0,0.733333333333333,"Lottery",NA
"125","105","t6",1,0.666666666666667,"Lottery",NA
"126","105","t7",0,0.6,"Lottery",NA
"127","105","t8",1,0.533333333333333,"Lottery",NA
"128","105","t9",1,0.466666666666667,"Lottery",NA
"129","106","t1",1,1,"Lottery",NA
"130","106","t10",0,0.4,"Lottery",NA
"131","106","t11",1,0.333333333333333,"Lottery",NA
"132","106","t12",0,0.266666666666667,"Lottery",NA
"133","106","t13",0,0.2,"Lottery",NA
"134","106","t14",1,0.133333333333333,"Lottery",NA
"135","106","t15",1,0.133333333333333,"Lottery",NA
"136","106","t16",0,0.0666666666666667,"Lottery",NA
"137","106","t2",0,0.933333333333333,"Lottery",NA
"138","106","t3",1,0.866666666666667,"Lottery",NA
"139","106","t4",1,0.8,"Lottery",NA
"140","106","t5",0,0.733333333333333,"Lottery",NA
"141","106","t6",1,0.666666666666667,"Lottery",NA
"142","106","t7",0,0.6,"Lottery",NA
"143","106","t8",1,0.533333333333333,"Lottery",NA
"144","106","t9",0,0.466666666666667,"Lottery",NA
"145","107","t1",1,1,"Lottery",NA
"146","107","t10",0,0.4,"Lottery",NA
"147","107","t11",1,0.333333333333333,"Lottery",NA
"148","107","t12",0,0.266666666666667,"Lottery",NA
"149","107","t13",0,0.2,"Lottery",NA
"150","107","t14",1,0.133333333333333,"Lottery",NA
"151","107","t15",1,0.133333333333333,"Lottery",NA
"152","107","t16",0,0.0666666666666667,"Lottery",NA
"153","107","t2",0,0.933333333333333,"Lottery",NA
